filename,objectid,digital_collection,title,description,date,type,rights,format,link,pubtype,pubtype-full,rightsstatement,source,number,language,creator,subject,subject-lcsh,publisher,cdmid,old-objectid
uiext_b29.pdf,uiext_b29,UI Extension Publications,Growing the Idaho potato,"University of Idaho, College of Agriculture, Extension Division, Extension bulletin No. 029, 1919.",1919-09-01,Text,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",application/pdf,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ui_ep/id/13564,Extension bulletin,Extension bulletin (University of Idaho. College of Agriculture. Extension Division),https://creativecommons.org/publicdomain/mark/1.0/,Special Collections Idaho S 53 (Between E3 - E415),29,eng,"Bennett, E.R.",potatoes; vegetable growing,Potatoes--Handling--Idaho; Potatoes--Harvesting--Idaho; Potatoes--Storage--Idaho; Seed potatoes--Idaho,University of Idaho. Agricultural Extension Service,13564,uiext13564
uiext_b30.pdf,uiext_b30,UI Extension Publications,Poultry husbandry in Idaho,"University of Idaho, College of Agriculture, Extension Division, Extension bulletin No. 030, 1919.",1919-11-01,Text,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",application/pdf,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ui_ep/id/13581,Extension bulletin,Extension bulletin (University of Idaho. College of Agriculture. Extension Division),https://creativecommons.org/publicdomain/mark/1.0/,Special Collections Idaho S 53 (Between E3 - E415),30,eng,"Moore, Pren",animal husbandry; poultry,Poultry industry--Idaho,University of Idaho. Agricultural Extension Service,13581,uiext13581
uiext_b31.pdf,uiext_b31,UI Extension Publications,Farm Bureau organization,"University of Idaho, College of Agriculture, Extension Division, Extension bulletin No. 031, 1919.",1919-11-01,Text,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",application/pdf,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ui_ep/id/13598,Extension bulletin,Extension bulletin (University of Idaho. College of Agriculture. Extension Division),https://creativecommons.org/publicdomain/mark/1.0/,Special Collections Idaho S 53 (Between E3 - E415),31,eng,"Musser, R.H.",farmers; organizations,"Agriculture--Idaho--Societies, etc.; Agriculture, Cooperative--Idaho",University of Idaho. Agricultural Extension Service,13598,uiext13598
uiext_b33.pdf,uiext_b33,UI Extension Publications,Problems in handicraft for Corn Club work,"University of Idaho, College of Agriculture, Extension Division, Extension bulletin No. 033, 1919.",1919-12-01,Text,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",application/pdf,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ui_ep/id/13611,Extension bulletin,Extension bulletin (University of Idaho. College of Agriculture. Extension Division),https://creativecommons.org/publicdomain/mark/1.0/,Special Collections Idaho S 53 (Between E3 - E415),33,eng,"Niece, H.T.",corn; handicrafts,Corn--Storage; Corn--Seeds,University of Idaho. Agricultural Extension Service,13611,uiext13611
uiext_b34.pdf,uiext_b34,UI Extension Publications,Tools: their use and care,"University of Idaho, College of Agriculture, Extension Division, Extension bulletin No. 034, 1919.",1919-12-01,Text,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",application/pdf,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ui_ep/id/13624,Extension bulletin,Extension bulletin (University of Idaho. College of Agriculture. Extension Division),https://creativecommons.org/publicdomain/mark/1.0/,Special Collections Idaho S 53 (Between E3 - E415),34,eng,"Niece, H.T.",equipment; equipment maintenance and repair,Tools--Care,University of Idaho. Agricultural Extension Service,13624,uiext13624
uiext_b35.pdf,uiext_b35,UI Extension Publications,Problems in handicraft for Pig Club projects,"University of Idaho, College of Agriculture, Extension Division, Extension bulletin No. 035, 1919.",1919-12-01,Text,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",application/pdf,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ui_ep/id/13645,Extension bulletin,Extension bulletin (University of Idaho. College of Agriculture. Extension Division),https://creativecommons.org/publicdomain/mark/1.0/,Special Collections Idaho S 53 (Between E3 - E415),35,eng,"Niece, H.T.",handicrafts; swine,Swine--Housing,University of Idaho. Agricultural Extension Service,13645,uiext13645
uiext_b36.pdf,uiext_b36,UI Extension Publications,Problems in handicraft in Poultry Club work,"University of Idaho, College of Agriculture, Extension Division, Extension bulletin No. 036, 1919.",1919-12-01,Text,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",application/pdf,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ui_ep/id/13662,Extension bulletin,Extension bulletin (University of Idaho. College of Agriculture. Extension Division),https://creativecommons.org/publicdomain/mark/1.0/,Special Collections Idaho S 53 (Between E3 - E415),36,eng,"Niece, H.T.",handicrafts; poultry,Poultry--Housing,University of Idaho. Agricultural Extension Service,13662,uiext13662
uiext_b38.pdf,uiext_b38,UI Extension Publications,Idaho purebred livestock directory,"University of Idaho, College of Agriculture, Extension Division, Extension bulletin No. 038, 1920.",1920-02-01,Text,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",application/pdf,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ui_ep/id/13687,Extension bulletin,Extension bulletin (University of Idaho. College of Agriculture. Extension Division),https://creativecommons.org/publicdomain/mark/1.0/,Special Collections Idaho S 53 (Between E3 - E415),38,eng,,livestock; purebreds,Livestock breeds--Idaho--Directories,University of Idaho. Agricultural Extension Service,13687,uiext13687
uiext_b39.pdf,uiext_b39,UI Extension Publications,Canada thistle in Idaho and how to get rid of it,"University of Idaho, College of Agriculture, Extension Division, Extension bulletin No. 039, 1920.",1920-05-01,Text,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",application/pdf,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ui_ep/id/13696,Extension bulletin,Extension bulletin (University of Idaho. College of Agriculture. Extension Division),https://creativecommons.org/publicdomain/mark/1.0/,Special Collections Idaho S 53 (Between E3 - E415),39,eng,"Wenger, Paul A.",Cirsium arvense; weed control,Noxious weeds--Control--Idaho; Canada thistle--Control--Idaho,University of Idaho. Agricultural Extension Service,13696,uiext13696
uiext_b40.pdf,uiext_b40,UI Extension Publications,Junior Club songs,"University of Idaho, College of Agriculture, Extension Division, Extension bulletin No. 040, 1920.",1920-06-01,Text,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",application/pdf,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ui_ep/id/13717,Extension bulletin,Extension bulletin (University of Idaho. College of Agriculture. Extension Division),https://creativecommons.org/publicdomain/mark/1.0/,Special Collections Idaho S 53 (Between E3 - E415),40,eng,Compiled by Jessie Warrington,organizations; songs (music),Farm Bureau Junior Clubs--Songs and music; College students--Societies and clubs--Songs and music,University of Idaho. Agricultural Extension Service,13717,uiext13717
uiext_b41.pdf,uiext_b41,UI Extension Publications,Dodder in Idaho,"University of Idaho, College of Agriculture, Extension Division, Extension bulletin No. 041, 1920.",1920-07-01,Text,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",application/pdf,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ui_ep/id/13730,Extension bulletin,Extension bulletin (University of Idaho. College of Agriculture. Extension Division),https://creativecommons.org/publicdomain/mark/1.0/,Special Collections Idaho S 53 (Between E3 - E415),41,eng,"Sheehan, B.F.",Cuscuta,Noxious weeds--Control--Idaho; Dodder--Control--Idaho,University of Idaho. Agricultural Extension Service,13730,uiext13730
uiext_b42.pdf,uiext_b42,UI Extension Publications,Housing farm poultry,"University of Idaho, College of Agriculture, Extension Division, Extension bulletin No. 042, 1923.",1923-06-01,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives department at libspec@uidaho.edu.",application/pdf,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ui_ep/id/13771,Extension bulletin,Extension bulletin (University of Idaho. College of Agriculture. Extension Division),https://creativecommons.org/publicdomain/mark/1.0/,Special Collections Idaho S 53 (Between E3 - E415),42,eng,"Parkhurst, Raymond T.; Moore, Pren; Lewis, M.R.",poultry housing,Poultry--Housing,University of Idaho. Agricultural Extension Service,13771,uiext13771
uiext_b48.pdf,uiext_b48,UI Extension Publications,Cheese making in the home,"University of Idaho, College of Agriculture, Extension Division, Extension bulletin No. 048, 1921.",1921-01-01,Text,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",application/pdf,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ui_ep/id/13804,Extension bulletin,Extension bulletin (University of Idaho. College of Agriculture. Extension Division),https://creativecommons.org/publicdomain/mark/1.0/,Special Collections Idaho S 53 (Between E3 - E415),48,eng,"Cammack, F.R.",cheesemaking,Cheesemaking,University of Idaho. Agricultural Extension Service,13804,uiext13804
uiext_b50.pdf,uiext_b50,UI Extension Publications,Fighting alfalfa weevil,"University of Idaho, College of Agriculture, Extension Division, Extension bulletin No. 050, 1921.",1921-03-01,Text,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",application/pdf,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ui_ep/id/13833,Extension bulletin,Extension bulletin (University of Idaho. College of Agriculture. Extension Division),https://creativecommons.org/publicdomain/mark/1.0/,Special Collections Idaho S 53 (Between E3 - E415),50,eng,"Wakeland, Claude C.",Hypera postica; insect control,Alfalfa--Diseases and pests--Control; Alfalfa weevil--Control,University of Idaho. Agricultural Extension Service,13833,uiext13833
uiext_b53.pdf,uiext_b53,UI Extension Publications,"Making of breads bulletin, first and second year bread clubs","University of Idaho, College of Agriculture, Extension Division, Extension bulletin No. 053, 1921.",1921-07-01,Text,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",application/pdf,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ui_ep/id/13858,Extension bulletin,Extension bulletin (University of Idaho. College of Agriculture. Extension Division),https://creativecommons.org/publicdomain/mark/1.0/,Special Collections Idaho S 53 (Between E3 - E415),53,eng,"Scrivner, Ina",breadmaking,Bread,University of Idaho. Agricultural Extension Service,13858,uiext13858
uiext_b54.pdf,uiext_b54,UI Extension Publications,First clothing bulletin,"University of Idaho, College of Agriculture, Extension Division, Extension bulletin No. 054, 1924.",1924-05-01,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives department at libspec@uidaho.edu.",application/pdf,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ui_ep/id/13887,Extension bulletin,Extension bulletin (University of Idaho. College of Agriculture. Extension Division),http://rightsstatements.org/vocab/InC-EDU/1.0/,Special Collections Idaho S 53 (Between E3 - E415),54,eng,"Jacobson, Wilhelmina E.",clothing,Dressmaking,University of Idaho. Agricultural Extension Service,13887,uiext13887
uiext_b56.pdf,uiext_b56,UI Extension Publications,Third clothing bulletin,"University of Idaho, College of Agriculture, Extension Division, Extension bulletin No. 056, 1923.",1923-05-01,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",application/pdf,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ui_ep/id/13904,Extension bulletin,Extension bulletin (University of Idaho. College of Agriculture. Extension Division),http://rightsstatements.org/vocab/InC-EDU/1.0/,Special Collections Idaho S 53 (Between E3 - E415),56,eng,"County Club Agents, State Clothing Specialists and State Specialist in Clothing Design",clothing,Dressmaking,University of Idaho. Agricultural Extension Service,13904,uiext13904
uiext_b58.pdf,uiext_b58,UI Extension Publications,Biennial report of the Extension Service in agriculture and home economics 1923/24,"University of Idaho, College of Agriculture, Extension Division, Extension bulletin No. 058, 1924.",1924-12-01,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives department at libspec@uidaho.edu.",application/pdf,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ui_ep/id/13929,Extension bulletin,Extension bulletin (University of Idaho. College of Agriculture. Extension Division),http://rightsstatements.org/vocab/InC-EDU/1.0/,Special Collections Idaho S 53 (Between E3 - E415),58,eng,"Iddings, Edward J.",agricultural education; extension education,Agriculture--Idaho--Periodicals,University of Idaho. Agricultural Extension Service,13929,uiext13929
uiext_b59.pdf,uiext_b59,UI Extension Publications,"Food preparation and food facts, first and second year bread and nutrition clubs","University of Idaho, College of Agriculture, Extension Division, Extension bulletin No. 059, 1925.",1925-06-01,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives department at libspec@uidaho.edu.",application/pdf,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ui_ep/id/13966,Extension bulletin,Extension bulletin (University of Idaho. College of Agriculture. Extension Division),http://rightsstatements.org/vocab/InC-EDU/1.0/,Special Collections Idaho S 53 (Between E3 - E415),59,eng,,home food preparation,Cooking; Nutrition,University of Idaho. Agricultural Extension Service,13966,uiext13966
